ID;"""Nome""";"""Empreendedor""";"""CPF_CNPJ""";"""UF""";"""Município""";"""Dano Potencial Associado - DPA""";"""Inserido na PNSB""";"""Nível de Emergência""";"""Tipo de Barragem de Mineração""";"""A Barragem de Mineração possui outra estrutura de mineração interna selante de reservatório""";"""Quantidade Diques Internos""";"""Quantidade Diques Selantes""";"""A barragem de mineração possui Back Up Dam""";"""Situação Operacional""";"""Estrutura com o Objetivo de Contenção""";"""A Barragem de Mineração está dentro da Área do Processo ANM ou da Área de Servidão""";"""Barragem de mineração é alimentado por usina""";"""Usinas""";"""Minério principal presente no reservatório""";;
8350;"""BARRAGEM USINA BENEFICIAMENTO L7 - IIA""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""MG""";"""UBERABA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""USINA BELA VISTA - BENEFICIAMENTO L7";;;
8351;"""BARRAGEM USINA BENEFICIAMENTO L8 - IIIA""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""MG""";"""UBERABA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Não""";"""Sim""";"""USINA BELA VISTA - BENEFICIAMENTO L8""";"""Argila Refratária""";;
8352;"""BARRAGEM USINA BENEFICIAMENTO L8 - IIIB""";"""MAGNESITA MINERACAO S.A.""";"""00592603000120""";"""MG""";"""UBERABA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Não""";"""Sim""";"""USINA BELA VISTA - BENEFICIAMENTO L8""";"""Argila Refratária""";;
8381;"""2""";"""VALE S.A.""";"""33592510000154""";"""MG""";"""BARÃO DE COCAIS""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Inativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8383;"""A - PDE Nordeste""";"""VALE S.A.""";"""33592510000154""";"""MG""";"""BARÃO DE COCAIS""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Inativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8385;"""C - PDE Nordeste""";"""VALE S.A.""";"""33592510000154""";"""MG""";"""BARÃO DE COCAIS""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Inativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8386;"""Fazendinha""";"""VALE S.A.""";"""33592510000154""";"""MG""";"""BARÃO DE COCAIS""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Inativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8396;"""LU""";"""José Vicente Nunes Rondon""";"""***006492***""";"""MT""";"""POCONÉ""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Não""";"""Sim""";"""LU""";"""Areia""";;
8669;"""Barragem de Rejeitos de Irecê""";"""COMPANHIA BAIANA DE PESQUISA MINERAL CBPM""";"""13554910000168""";"""BA""";"""IRECÊ""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Não""";"""Sim""";"""Usina de Beneficiamento de Irecê""";"""Fosfato""";;
8406;"""PDE Engano""";"""VALE S.A.""";"""33592510000154""";"""MG""";"""MARIANA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Inativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8414;"""Barragem 101""";"""Indústria Carbonífera Rio Deserto Ltda""";"""83286500000169""";"""SC""";"""IÇARA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8435;"""1 Mina""";"""VALE S.A.""";"""33592510000154""";"""PA""";"""CANAÃ DOS CARAJÁS""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8459;"""BOM PASTOR""";"""Sidnei Rafael de Souza""";"""***096118***""";"""MT""";"""POCONÉ""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""BOM PASTOR I""";"""Areia""";;
8460;"""OURINHOS I""";"""João Gimenes Rodrigues""";"""***510957***""";"""MT""";"""POCONÉ""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""OURINHOS II""";"""Argila""";;
8467;"""Dique de Contenção Pilha de Estéril MMR""";"""CSN CIMENTOS BRASIL S.A. Filial: LAFARGEHOLCIM (BRASIL) S.A.""";"""60869336008444""";"""MG""";"""PRADOS""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8476;"""CHICO""";"""NORAIR NELSON DE SOUZA""";"""***522859***""";"""MT""";"""POCONÉ""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Rejeitos""";"""Sim""";"""Sim""";"""Norair 1""";"""Areia""";;
8482;"""Dique - Pilha de Rejeito""";"""EXTRATIVA MINERAL S/A""";"""17174889000126""";"""MG""";"""NOVA LIMA""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8489;"""TANQUE DE DECANTAÇÃO""";"""T B K - MINERACAO LIMITADA""";"""07707446000108""";"""SP""";"""MONTE MOR""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Sim""";"""USINA TBK""";"""Não se aplica a esse tipo de barragem""";;
8681;"""Barragem B2""";"""HERCULANO MINERACAO LTDA""";"""41785833000192""";"""MG""";"""ITABIRITO""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8682;"""Barragem B3""";"""HERCULANO MINERACAO LTDA""";"""41785833000192""";"""MG""";"""ITABIRITO""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8498;"""Barragem Captação de Água""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8509;"""Dique 01 Serra Azul - Dique Vai e Volta 1""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8510;"""Barragem B3""";"""MINERACAO GERAL DO BRASIL S/A""";"""60727120000117""";"""MG""";"""BRUMADINHO""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Inativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8512;"""Dique IV""";"""MINERACAO GERAL DO BRASIL S/A""";"""60727120000117""";"""MG""";"""BRUMADINHO""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Inativa""";"""Sedimentos""";"""Não""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8513;"""Dique 02 Serra Azul - Dique Vai e Volta 2""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8514;"""Dique 03 Serra Azul - Dique Vai e Volta 3""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8515;"""Dique 06""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8516;"""Dique 13 - Pains""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8517;"""Dique 14""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8519;"""Dique Couves (MUSA)""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8520;"""Dique da Divisa""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""ITATIAIUÇU""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Ativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
8521;"""Dique da Oficina""";"""MINERACAO USIMINAS S.A.""";"""12056613000120""";"""MG""";"""MATEUS LEME""";"""Não se aplica""";"""Não""";"""Sem emergência""";"""Barragem/Barramento/Dique""";"""Não""";"""0""";"""0""";"""Não""";"""Inativa""";"""Sedimentos""";"""Sim""";"""Não""";"""-""";"""Não se aplica a esse tipo de barragem""";;
